output,input,instruction
"Class I 1. Hospital admission is recommended for high-risk patients with acute pericarditis (at least one risk factor). 2. Outpatient management is recommended for low-risk patients with acute pericarditis. 3. Evaluation of response to anti-inflammatory therapy is recommended after 1 week. (Level of Evidence: B)  
Class I 1. Aspirin or NSAIDs are recommended as first-line therapy for acute pericarditis with gastroprotection.  2. Colchicine is recommended as first-line therapy for acute pericarditis as an adjunct to aspirin / NSAID therapy. (Level of Evidence: A)    
Class IIa 1. Serum CRP should be considered to guide the treatment length and assess the response to therapy. 2. Low- dose corticosteroids should be considered for acute pericarditis in cases of contraindication / failure of aspirin / NSAIDs and colchicine, and when an infectious cause has been excluded, or when there is a specific indication such as autoimmune disease. 3. Exercise restriction should be considered for non- athletes with acute pericarditis until resolution of symptoms and normalization of CRP, ECG, and echocardiogram. 4. For athletes, the duration of exercise restriction should be considered until resolution of symptoms and normalization of CRP, ECG, and echocardiogram —at least 3 months is recommended. (Level of Evidence: C)
Class I 1. Aspirin and NSAIDs are mainstays of treatment and are recommended at full doses, if tolerated, until complete symptom resolution.   2. Colchicine (0.5 mg twice daily or 0.5 mg daily for patients, 70 kg or intolerant to higher doses); use for 6 months is recommended as an adjunct to aspirin / NSAIDs. (Level of Evidence: A)     
Class IIa 1. Colchicine therapy of longer duration (>6 months) should be considered in some cases, according to clinical response. 2. CRP dosage should be considered to guide the treatment duration and assess the response to therapy. 3. After CRP normalization, a gradual tapering of therapies should be considered, tailored to symptoms and CRP, stopping a single class of drugs at a time. 4. Drugs such as IVIG, anakinra, and azathioprine may be considered in cases of corticosteroid -dependent recurrent pericarditis in patients not responsive to Colchicine. 5. Exercise restriction should be considered for non- athletes with recurrent pericarditis until symptom resolution and CRP normalization, taking into account the previous history and clinical conditions. 6. Exercise restriction for a minimum of 3 months should be considered for athletes with recurrent pericarditis until symptom resolution and normalization of CRP, ECG, and echocardiogram. 7. If ischaemic heart disease is a concern or antiplatelet therapy is required, Aspirin should be considered, at medium-high doses (1–2.4 g/day). 8. If symptoms recur during therapy tapering, the management should consider not increasing the dose of corticosteroids to control symptoms, but increasing to the maximum dose of Aspirin or NSAIDs, well distributed, generally every 8 hours, and intravenously if necessary, adding Colchicine and adding analgesics for pain control. (Level of Evidence: C)
Class I 1. The mainstay of treatment of chronic permanent constriction is pericardiectomy. 2. Medical therapy of specific pericarditis (i.e. tuberculous pericarditis) is recommended to prevent the progression of constriction. (Level of Evidence: C)
Class III 1. Routine viral serology is not recommended, with the possible exception of HIV and HCV. 2. Corticosteroid therapy is not recommended in viral pericarditis. (Level of Evidence: C)
Class I 1. Effective pericardial drainage is recommended for purulent pericarditis. 2. Administration of intravenous antibiotics is indicated to treat purulent pericarditis. (Level of Evidence: C)
Class IIa 1. Subxiphoid pericardiotomy and rinsing of the pericardial cavity should be considered. 2. Intrapericardial thrombolysis should be considered. 3. Pericardiectomy for dense adhesions, loculated or thick purulent effusion, recurrence of tamponade, persistent infection and progression to constriction should be considered. (Level of Evidence: C)
Class IIa 1. Dialysis should be considered in uraemic pericarditis. 2. When patients with adequate dialysis develop pericarditis, intensifying dialysis should be considered. (Level of Evidence: C)
Class IIb 1. Pericardial aspiration and/or drainage may be considered in non-responsive patients with dialysis. 2. NSAIDs and corticosteroids (systemic or intrapericardial) may be considered when intensive dialysis is ineffective. (Level of Evidence: C)
Class I 1. In cases of pericarditis with suspected associated myocarditis, coronary angiography (according to clinical presentation and risk factor assessment) is recommended in order to rule out acute coronary syndromes. 2. Cardiac magnetic resonance is recommended for the confirmation of myocardial involvement. 3. Hospitalization is recommended for diagnosis and monitoring in patients with myocardial involvement. 4. Rest and avoidance of physical activity beyond normal sedentary activities is recommended in non- athletes and athletes with myopericarditis for a period of 6 months. (Level of Evidence: C)

Class I 1. Radiation therapy methods that reduce both the volume and the dose of cardiac irradiation are recommended whenever possible. (Level of Evidence: C)
Class I 1. NSAIDs at high doses are recommended as first-line therapy for acute pericarditis in children until complete symptom resolution. (Level of Evidence: C)
Class IIa Colchicine should be considered as an adjunct to anti-inflammatory therapy for acute recurrent pericarditis in children: <5 years, 0.5 mg/day; >5 years, 1.0–1.5 mg/day in two to three divided doses. (Level of Evidence: C)
Class IIb Anti-IL-1 drugs may be considered in children with recurrent pericarditis and especially when they are corticosteroid dependent. (Level of Evidence: C)
Class III 1. Aspirin is not recommended in children due to the associated risk of Reye’s syndrome and hepatotoxicity. 2. Corticosteroids are not recommended due to the severity of their side effects in growing children unless there are specific indications such as autoimmune diseases. (Level of Evidence: C)",What is the recommended treatment for pericarditis?,Answer this question truthfully
"More than 300 individuals with this disorder have been reported so far, out of which two thirds were from Japan, and a substantial number from France and Iceland. The estimated prevalence of APRT deficiency is 0.5 to 1 per 100,000 in the Caucasian population, 0.25 to 0.5 per 100,000 in the Japanese population and in Iceland the estimated point prevalence is 8.9/100,000","What is the connection between dihydroxy-adenine urolithiasis and 2,8? And, what exactly is dihydroxy-adenine urolithiasis?",Answer this question truthfully
"Sarcoma botryoides is a rare subtype of embryonal rhabdomyosarcoma. The botryoides subtype of embryonal rhabdomyosarcoma accounts for about 10% of all rhabdomyosarcoma cases and arises from the sub- mucosal surface of body orifices such as the vagina, bladder and cervix. The most common clinical finding is vaginal bleeding. Sarcoma botryoides was first described by Guersant in 1854. Genes involved in the development of sarcoma botryoides include K-RAS gene and P53 oncogene. It is more commonly observed among girls aged 3 to 8 years old. If left untreated, patients with sarcoma botryoides may progress to develop direct extension to pelvic soft tissue structures. The mainstay of therapy for sarcoma botryoides is surgery and adjuvant multi-agent chemotherapy.","""What does the term Sarcoma botryoides mean?""",Answer this question truthfully
"Measles is a highly contagious disease caused by a virus, that if not prevented may have a noticeable impact on the population. Although there is still not a specific antiviral treatment for measles, proper vaccination as primary prevention may have noteworthy impact on its incidence. Evidence of such is the incidence of measles in the US population, before and after the introduction of the measles vaccine. 
Before the vaccine was introduced, almost all children got measles by the age of 15. At that time in the United States, about 450-500 people died every year, 48,000 were hospitalized, 7,000 had seizures and about 1,000 suffered permanent brain damage or deafness from measles. Today, with the adequate access to vaccination, there are only about 60 cases a year reported in the United States. Of these, most have their origin outside of the US.
Considering the impact of vaccination in the incidence of measles, the costs may be justified by the benefit of vaccination.",How cost-effective is measles therapy?,Answer this question truthfully
Definitive diagnosis is usually confirmed after obtaining cultures but cultures are not usually requested and the diagnosis is made based on the symptoms and physical examination.,What is the medical history and what are the symptoms of vulvovaginitis that is caused by Candida?,Answer this question truthfully
"There are no X-ray findings associated with glycogen storage disease type 2 (GSD type 2). However, an X-ray may be helpful in the diagnosis of the cardiac complication of GSD type 2, which include cardiomegaly.",What is the connection between glycogen and storage disease type II with regards to X-ray outcomes?,Answer this question truthfully
"Depending on the severity of salmonellosis, patient's appearance may range from alert and oriented, being able to communicate, to severely dehydrated, hypotensive, with sunken eyes.  
A fever is often present
Tachycardia may be present
The pulse may be weak
Hypotension may be present
Tachypnea may be present
Pallor may be present
Mucosa may be dehydrated
Abdominal distention may be present Abdominal tenderness may be present An abdominal mass may be present Hepatosplenomegaly may be present in immunocompromised patients
Mental status may be altered Obtundation may be present",What does a physical exam for salmonellosis look like?,Answer this question truthfully
"The PR interval measures the time required for an electrical impulse to travel from the atrial myocardium adjacent to the sinoatrial (SA) node to the ventricular myocardium adjacent to the fibers of the Purkinje network.
This duration is normally from 0.10 to 0.21 s. A major portion of the PR interval reflects the slow conduction of an impulse through the AV node, which is controlled by the balance between the sympathetic and parasympathetic divisions of the autonomic nervous system. Therefore, the PR interval varies with the heart rate, being shorter at faster rates when the sympathetic component predominates, and vice versa. The PR interval tends to increase with age  ;
In childhood: 0.10 - 0.20 sec In adolescence: 0.12 - 0.16 sec In adulthood: 0.14 - 0.21 sec
Shortens up to a rate of 140 to 150 beats per minute (bpm) through a withdrawal of parasympathetic tone PR may increase with increasing rate in the presence of digoxin or if the conducting system is diseased. If the atria are artificially paced the PR increases as the paced rate increases. Children have shorter PR intervals (0.11 at 1 year). Prolongation can be a normal variant: 6700 healthy airmen studied and 0.52% found to have a prolonged PR. 80% of the PR prolongations ranged from 0.21 to 0.24. In a second study 59 of 19,000 (0.31%) airmen had a PR of 0.24 or more. In healthy middle aged men, a prolongation of the PR in the presence of a normal QRS does not affect prognosis and is not related to ischemic heart disease. PR prolongation often signifies a delay in the AV node but may reflect intra atrial or His Purkinje disease.
AV junctional and low atrial rhythms. Wolff Parkinson White syndrome. Lown Ganong Levine syndrome. Glycogen storage disease. Hypertension. Normal variant. Fabry's disease. Pheochromocytoma.
AV block due to coronary artery disease, rheumatic disease. Hyperthyroidism. Normal variant.
Acute pericarditis. Atrial infarction.",Could you define electrocardiography and explain the importance of the PR interval within it?,Answer this question truthfully
"The American society of anesthesiologists recommends against routine preoperative laboratory testing in the absence of clinical indications . In specific circumstances, selective testing may be appropriate, such as in patients with underlying diseases or risk factors that would increase their risk for surgical complications. Also in specific high risk surgical procedures, these tests should be done. If there is no significant change in the clinical condition of the patient, it may be safe to use test results that were performed within the past four months. These tests include:
1. Complete blood count (CBC): Anemia maybe presents in asymptomatic patients and it is common following major surgery. Postoperative mortality maybe predicted by the preoperative hemoglobin level . CBC test should be done for:
Patients 65 years of age or older. Patients who are undergoing major surgery. Young patients who undergoing major surgery with the expectation to result in significant blood loss. Patients with a history that suggests anemia.
2. Renal function test (RFT): Serum creatinine concentration should be ordered for patients over the age of 50 undergoing intermediate or high risk surgeries, also it should be ordered if hypotension is likely, or when nephrotoxic medications will be used. Mild to moderate renal impairment is usually asymptomatic. Dosage adjustment of some medications may be needed if the patient has renal insufficiency.
3. Electrolytes: It is not recommended to be done routinely if the patient does not have a history of electrolytes abnormality.
4. Blood glucose: Diabetes increases the operative risk in patients undergoing vascular surgery or coronary artery bypass grafting  . Routine measurement of blood glucose is not recommended for healthy patients before the surgery, since some studies showed that unexpected abnormal blood glucose results do not often influence perioperative management  .
5. Liver function tests (LFT): It is not recommended to do this test routinely unless the patient has a history of liver disease .
6. Hemostasis tests: It is not recommended to do prothrombin time (PT) or Partial thromboplastin time (PTT) blood tests routinely unless the patient has bleeding disorder or an unusual bleeding tendency . Some doctors have suggested to test all patients who undergoing intermediate to high risk surgeries. This avoids the chance that clinicians may forget to ask the patients about their bleeding history. The bleeding time is not useful in assessing the risk of perioperative hemorrhage  .
7. Urinalysis: It is usually done to detect any urinary tract infection which has the potential to cause wound infection after the surgery , especially with prosthetic surgery. If the test is positive, the patient should be treated with antibiotics and proceed with surgery without delay. Some studies showed that there is no reduction in the risk of postoperative wound infection if the patient treated with antibiotics before the surgery, and so, it is not indicated to test for Urinary tract infection before the surgery for every patient  .
8. Pregnancy testing: Pregnant women may need specific perioperative management, this includes specific anesthetic teqniques. An elective surgery may be cancelled or postponed in pregnant women. The American society of anesthesiologists recommends that clinicians consider pregnancy testing for all woman of childbearing age . Many institutions require pregnancy testing for all reproductive age women before surgery.
9. Electrocardiogram (EKG): This should be done to detect any recent myocardial infarction (MI) which known to be associated with increased surgical morbidity and mortality , also it may be important as a baseline to be compared with the one postoperatively. In general, EKG alone may be a poor indicator of postoperative cardiac complications. The 2007 American college of cardiology/American heart association (ACC/AHA) Guidelines on perioperative cardiovascular evaluation states that ECG is not useful in asymptomatic patients undergoing low risk procedures . Also, the European Society of Cardiology 2009 preoperative guidelines do not recommend ECG in patients without risk factors . According to the 2007 ACC/AHA guidelines the 12-lead ECG are recommended for the following patients:
Patients who are scheduled to undergo vascular surgery and have at least one of the following clinical risk factors:
Ischemic heart disease. Compensated or prior heart failure. Cerebrovascular disease. Diabetes. Renal insufficiency. It is less strongly recommended to perform an ECG for patients scheduled to undergo vascular surgery with no clinical risk factors.
Patients who are scheduled to undergo intermediate-risk surgery with known cardiovascular disease, peripheral artery disease, or cerebrovascular disease.It is less strongly recommended to perform an ECG for patients scheduled to undergo intermediate-risk surgery with at least one clinical risk factor.
10. Chest radiograph (Chest x-ray): Its not recommended to do this test routinely before the operations in healthy patients, many studies showed that an abnormal chest x-ray findings may occur frequently, especially in elderly persons . According to the American College of Physicians (ACP), if there is a suspicion of cardiopulmonary disease from the patient's history or physical examination, then this test should be done, also in those older than 50 years of age who are undergoing abdominal aortic aneurysm surgery or upper abdominal/thoracic surgery . The American heart association (AHA) recommends preoperative chest x-ray for patients with morbid obesity (BMI ≥40 kg/m2) .
11. Pulmonary function test (PFT): This test only recommended for patients who have dyspnea or other abnormal respiratory clinical findings such as decreased breath sounds, prolonged expiratory phase, rales, rhonchi, or wheezes .",What is the objective of the pre-operative assessment?,Answer this question truthfully
"Muller first coined the term desmoid in 1858 to describe tumors with tendon -like consistency. It origniates from a Greek word ""desmos"" meaning band or tendon -like. Gradner first described the development of desmoid tumors in FAP patients in 1951.",Could you please provide me with the original text to rephrase it?,Answer this question truthfully
"A variety of blood tests are available for analyzing cholesterol transport behavior, HDL, LDL, triglycerides, lipoprotein little a, homocysteine, C-reactive protein, blood sugar control: fasting, after eating or averages using glycosylated albumen or hemoglobin, myoglobin, creatine kinase, troponin, brain-type natriuretic peptide, etc. to assess the evolution of coronary artery disease and evidence of existing damage. A great many more physiologic markers related to atherosclerosis and heart function are used and being developed and evaluated in research.
(*) due to the high cost, LDL is usually calculated instead of being measured directly source: Beyond Cholesterol, Julius Torelli MD, 2005 ISBN 0-312-34863-0",What diagnostic tests and procedures are employed in cardiology?,Answer this question truthfully
"Like other personality disorders, narcissistic personality disorder is diagnosed based on a psychological evaluation and the history and severity of the symptoms.",What is the information on Narcissistic Personality Disorder?,Answer this question truthfully
Trans-thoracic echocardiography findings include thickening and retraction of immobile tricuspid valve leaflets with associated tricuspid regurgitation and immobility of the pulmonary valve cusps. Trans-esophageal echocardiography findings provide incremental assessment of the degree of cardiac valve involvement and the atrial septal anatomy in patients with carcinoid heart disease.,"""Which diagnostic imaging technique, echocardiography or ultrasound, is used to identify Carcinoid Syndrome?""",Answer this question truthfully
"Fight SMA / Andrew's Buddies Families of Spinal Muscular Atrophy Template:NINDS SMA Support
Template:Diseases of the nervous system
it:Atrofia muscolare spinale
Template:WH Template:WS",What is the disease called Werdnig-Hoffman?,Answer this question truthfully
Adprin B® Tri-Buffered Caplets® Alka-Seltzer® Effervescent Pain Reliever and Antacid Alka-Seltzer® Extra Strength Effervescent Pain Reliever and Antacid Alka-Seltzer® Flavored Effervescent Pain Reliever and Antacid Ascriptin® Arthritis Pain Caplets® Ascriptin® Enteric Adult Low Strength Ascriptin® Enteric Regular Strength Ascriptin® Maximum Extra Strength Caplets® Ascriptin® Regular Strength Aspergum® Bayer ® Aspirin with Calcium Regimen Caplets® Bayer® Aspirin Arthritis Pain Regimen Extra Strength Caplets® Bayer® Aspirin Caplets® Bayer® Aspirin Extra Strength Caplets® Bayer® Aspirin Extra Strength Gelcaps® Bayer® Aspirin Extra Strength Tablets Bayer® Aspirin Gelcaps® Bayer® Aspirin Plus Buffered Extra Strength Caplets® Bayer® Aspirin Regimen Adult Low Strength Bayer® Aspirin Regimen Children's Chewable Bayer® Aspirin Regimen Regular Strength Caplets® Bayer® Aspirin Tablets Bufferin® Arthritis Strength Caplets® Bufferin® Enteric Low Dose Caplets® Bufferin® Extra Strength Bufferin® Tablets Darvon® Compound Pulvules® Easprin® Ecotrin® Ecotrin® Adult Low Strength Ecotrin® Maximum Strength Endodan® Excedrin® Extra-Strength Caplets® Excedrin® Extra-Strength Geltabs Excedrin® Extra-Strength Tablets Excedrin® Migraine Caplets® Excedrin® Migraine Geltabs Excedrin® Migraine Tablets Gelpirin® Genacote® Genacote® Maximum Strength Goody's® Body Pain Powders Goody's® Extra Strength Headache Powders Goody's® Extra Strength Tablets Halfprin® Magnaprin® Arthritis Strength Magnaprin® Improved Norwich® Aspirin Norwich® Aspirin Maximum Strength PC-CAP® Percodan® Percodan®-Demi Roxiprin® St. Joseph® Aspirin Adult Chewable® Supac® Sureprin® Talwin® Compound Caplets® Vanquish® Caplets® ZORprin®,What information is available concerning acetylsalicylic acid?,Answer this question truthfully
Wearing proper clothing and insect repellent will help prevent infection. Lice and tick control in high-risk areas is another important public health measure.,What information is available regarding fever during relapses?,Answer this question truthfully
"Patients with DIC may have a history of abruptio placentae, amniotic fluid embolism, aortic aneurysm, blood transfusion reaction, drug exposure (e.g. amphetamines), eclampsia, giant hemangioma, graft-versus-host disease, HELLP syndrome, hemolytic transfusion reaction, liver disease, malignancy (especially acute promyelocytic leukemia), sepsis (esp. gram-negative bacteria), severe allergic reaction, transplant rejection, trauma (e.g. fat embolism, head injury), venomous snake and viral hemorrhagic fever.",What is the history and what are the symptoms of disseminated intravascular coagulation?,Answer this question truthfully
Assess the central part of the chest cavity (the mediastinum) Identify distant metastases,What information does an MRI of the parathyroid gland provide regarding cancer?,Answer this question truthfully
"Otospondylomegaepiphyseal dysplasia (OSMED) is an autosomal recessive disorder of bone growth that results in skeletal abnormalities, severe hearing loss, and distinctive facial features. The name of the condition indicates that it affects hearing (oto-) and the bones of the spine (spondylo-), and enlarges the ends of bones (megaepiphyses).",What does the term Otospondylomegaepiphyseal dysplasia mean?,Answer this question truthfully
"Cardiotoxicity is the occurrence of heart muscle damage. The heart becomes weaker and is not as efficient in pumping and therefore circulating blood. Cardiotoxicity may be caused by chemotherapy treatment, complications from anorexia nervosa, drugs or chemical toxins.","What is the meaning of cardiotoxicity, and what are its typical features?",Answer this question truthfully
"Major bleeding:
Life-threatening (fatal, intracranial, requiring surgical intervention or 4 units of blood or plasma expanders) Other major bleeding episodes (any event requiring transfusion of 2 or 3 units or judged to be disabling)
Minor Bleeding: All other bleeding events","What are the definitions of bleeding complications for patients with unstable angina, non-ST elevation myocardial infarction, and transfusion?",Answer this question truthfully
Total hysterectomy is curative for atypical endometrial hyperplasia or endometrial intraepithelial neoplasia.  Surgery may also provide an opportunity for an intraoperative assessment of a concurrent carcinoma.  Total hysterectomy may not be an option for patients who desire pregnancy or those unfit to undergo surgery and are treated conservatively.,Which surgery is performed to treat endometrial hyperplasia?,Answer this question truthfully
"Inferior MI results from the total occlusion of either the right coronary artery in 85% of the cases or the left circumflex in 15% of the cases.
Shown below are an animated image and a static image depicting PERFUSE grade 6 thrombus in the RCA. Encircled in yellow in the image on the right is the thrombus area where you can notice an abrupt blunt cut-off appearance beyond which no dye is penetrating the artery.

Shown below are two animated images of the same case depicting TIMI grade 6 thrombus in the left circumflex. The image on the left shows the same thrombus before PCI and the image on the left shows the patent left circumflex after PCI.","What does the term ""inferior"" mean in relation to myocardial infarction?",Answer this question truthfully
"Risk factors in the development of pneumoconiosis are occupational.       
Common risk factors in the development of pneumoconiosis include: Stonemasons, quarry workers, tunnellers, foundry, pottery workers (Silicosis) Construction workers Length of employment positively correlates Drilling Mining Sandblasting Concomitant smoking Textiles Shipbuilding Electronic shops Automotive industry Aerospace
Less common risk factors in the development of pneumoconiosis include: Environmental exposure in buildings Community-acquired in neighborhoods",What factors increase the risk of developing pneumoconiosis?,Answer this question truthfully
Effective measures for the primary prevention of alcoholic liver disease include screening and counseling for alcohol abuse disorder. Physicians must have a low threshold for screening as many patients would not be comfortable about discussing their alcohol dependence.,What is the primary method of preventing liver disease in individuals who consume alcohol excessively?,Answer this question truthfully
"In order to make a diagnosis, the patient must have two major criteria from two separate categories or one major criterion plus one or more minor criteria.
Major criteria
Skin - Yellow papules/plaques on the lateral neck or body, skin biopsy showing increased calcification with clumping of elastic fiber from affected skin Eye - Peau d’orange changes, angioid streaks (confirmed by angiography) Genetics - Presence of a pathogenic mutation of both alleles of ABCC6, a first-degree relative who meets criteria for definitive pseudoxanthoma elasticum
Minor criteria
Eye - One angioid streak shorter than one disk diameter, “comets” in the retina, one or more “wing signs” on the retina Genetics - A pathogenic mutation in one allele of the ABCC6 gene",What does the physical examination for pseudoxanthoma elasticum involve?,Answer this question truthfully
"It can have various complication depending upon the system involvement
Muscular Involvement present as difficulty swallowing, aspiration pneumonia, Skin Involvement present as infections and calcinosis",Could you please provide information on Dermatomyositis and its characteristics?,Answer this question truthfully
"Certain diseases, conditions, or factors can raise the risk for cardiomyopathy. Major risk factors include:  
A family history of cardiomyopathy, heart failure, or sudden cardiac arrest (SCA) A disease or condition that can lead to cardiomyopathy, such as coronary heart disease, heart attack, or a viral infection that inflames the heart muscle Diabetes or other metabolic diseases, or severe obesity Diseases that can damage the heart, such as hemochromatosis, sarcoidosis, or amyloidosis Long-term alcoholism Long-term high blood pressure",What factors increase the risk of developing cardiomyopathy?,Answer this question truthfully
"Prognosis of kyphosis depends on:
Underlying causes: Prognosis of patients with kyphosis caused by tumors is poor than other causes. Whether the patient is accompanied with complications such as decreased lung function, disabling back pain, neurological symptoms iand round back deformity.","What is the natural progression, likelihood of recovery, and potential for complications related to kyphosis?",Answer this question truthfully
"Death is the ultimate complication that can happen in heart failure patients having thrombosis. In the ATLAS (Assessment of Treatment with Lisinopril and Survival) trial , there were many Heart failure patients who underwent autopsy, providing an unique opportunity and answering many questions about the cause of death.
Various trials have been conducted to suggest surrogate markers of heart failure.",What is the connection between congestive heart failure and thrombosis?,Answer this question truthfully
"Several classification systems have been suggested for the description of aortic dissection.     The commonly used classifications for aortic dissection are either based on the timing of the symptoms or the anatomy of the dissection. DeBakey and Stanford systems are the commonly used classification systems for aortic dissection.
The DeBakey system classifies aortic dissection based on anatomy of the aorta. It classifies the dissection according to the intimal tear location. 
Type I - Intimal tear is located in ascending aorta, spreads at least to the aortic arch and often beyond it distally. Type II – Intimal tear is located and limited to the ascending aorta. Type III – Intimal tear is located in descending aorta, rarely extends proximally.
Type III A: Dissection limited to the descending thoracic aorta Type III B: Dissection extended below the diaphragm
Stanford classification system is based on the involvement of ascending aorta. 
A = Type I and II DeBakey B = Type III Debakey

Aortic dissection may be classified according to the timing of symptom presentation to the following: Acute (<14 days) Sub-acute (15-90 days) Chronic (>90 days)",What is the classification system used for aortic dissection?,Answer this question truthfully
"Shown below is a pre-intervention angiogram with significant lesion in the mid RCA.
Shown below is a post-intervention angiogram with occlusion at the mid RCA distal to the site of intervention depicting distal embolization.",What constitutes a case of distal embolization in patients?,Answer this question truthfully
"Physician referral is the most powerful predictor of patient participation in a cardiac rehabilitation program.
Affordability of service, Insurance coverage/ noncoverage, Social support from a spouse or other caregiver, Gender-specific attitudes, Patient-specific internal factors such as anxiety or poor motivation, and Logistical and financial constraints, or a combination of these factors.","What is the relationship between unstable angina, non-ST elevation myocardial infarction, and cardiac rehabilitation?",Answer this question truthfully
"Congenital varicella syndrome is caused by Varicella zoster virus (VZV), a human alpha herpes virus.","Could you explain the definition of congenital varicella syndrome, please?",Answer this question truthfully
"The prognosis of MEN-1 is generally good with treatment. Early death can occur due to the effect of hormones produced by these tumors.  Although many tumors associated with MEN-1 are benign, approximately half of people with MEN-1 will eventually develop a cancerous tumor.  The presence of pancreatic tumors is associated with a particularly poor prognosis among patients with MEN-1.","What are the natural progression, expected outcome, and possible associated issues of Multiple Endocrine Neoplasia Type 1?",Answer this question truthfully
"Dieulafoy's lesion is an uncommon cause of gastric bleeding thought to cause less than 5% of all gastrointestinal bleeds in adults. It was named after French surgeon Paul Georges Dieulafoy, who described this condition in his paper ""Exulceratio simplex: Leçons 1-3"" in 1898.   It is also called ""Caliber-persistent artery"" or ""Aneurysm"" of gastric vessels. However unlike most other aneurysms these are thought to be developmental malformations rather than degenerative changes.",What does Dieulafoy's lesion refer to?,Answer this question truthfully
Echocardiography can show left ventricular hypertrophy and high-output cardiac failure. Ultrasound can detect an enlarged spleen or may demonstrate the cause of anemia such as uterine fibroids.,Is echocardiography or ultrasound utilized for the diagnosis of anemia in chronic illnesses?,Answer this question truthfully
"Oligoastrocytomas are mixed tumors that arise from the proliferation of both oligodendrocytes and astrocytes. Genes associated with the pathogenesis of oligoastrocytoma and anaplastic oligoastrocytoma include IDH1, p53, EGFR, ATRX, EGFR, PTEN, MGMT, CIC, and FUBP1. 30-70% of oligoastrocytomas show loss of heterozygosity (LOH) of 1p and 19q. On gross pathology, oligoastrocytoma is characterized by a soft, well-defined, grey-tan, mucoid or hemorrhagic, calcified mass with or without necrosis, which may expand the gyrus and cause blurring of the grey-white junction. On microscopic histopathological analysis, oligoastrocytoma is characterized by highly cellular lesions composed of both oligodendroglial and astrocytic components. In addition to the histological features of oligoastrocytoma, anaplastic oligoastrocytoma also has significant or brisk mitotic activity, marked cytologic and nuclear atypia, necrosis, apoptosis, and microvacular proliferation. Oligoastrocytoma is demonstrated by positivity to tumor markers such as MAP2, GFAP, IDH1, OLIG-1 protein, OLIG-2 protein, and Iba-2 protein.",What is the definition of Oligoastrocytoma and what is its pathophysiology?,Answer this question truthfully
Cystoscopy may be helpful in the diagnosis of transitional cell carcinoma.,What is the importance of utilizing cell carcinoma cystoscopy and bladder biopsy in the detection of transitional cell carcinoma?,Answer this question truthfully
"Several factors may put a person at risk for developing Folate deficiency.These include the presence of congenital defect, malabsorptive disorder and alcohol abuse. Certain medications use are also associated with higher risk for developing Folate deficiency.
Common risk factors in the development of Folate deficiency include: Low dietary folate intake Age >65 years Alcoholism Pregnant or lactating mothers Prematurity Intestinal malabsorptive disorders e.g. celiac disease, tropical sprue, jejunal resection, inflammatory bowel diseases. Use of drugs e.g. trimethoprim, methotrexate, anticonvulsants, sulfasalazine, or pyrimethamine Infantile intake of goats' milk which is low in folate content States of increased cell turnover e.g. chronic hemolysis
Less common risk factors in the development of Folate deficiency include: Congenital defects in folate absorption and metabolism Intake of special diet Chronic dialysis",What factors increase the risk of folate deficiency?,Answer this question truthfully
"Upper gastrointestinal barium study:  In patients who represent with esophagitis due to SLE Possible findings include: Mucosal granularity from reflux esophagitis Ulceration in severe cases Double contrast technique:  In the presence of gastritis or peptic ulcers, for evaluation of stomach and duodenum
Bone scan/ Bone scintigraphy:   Photopenic areas will be seen primarily that will eventually progress to osteoblasts activity and increased radiotracer uptake at the margins of the infarction Hand scintigraphy may be useful to differentiate SLE from RA in early stage disease  May show: Hyperemia of the affected bone Osteogenesis due to avascular necrosis (AVN) An abnormal intraosseous phlebogram Elevated intramedullary pressure Rest 99mTc-sestamibi SPET/ Scintigraphy imaging:   A non-invasive method to identify subclinical myocardial involvement in systemic lupus erythematosus   Identify patients potentially at risk of later cardiac events  Diagnostic in the degree of pulmonary injury in patients  In the presence of acute cholecystitis symptoms, findings include: Gallbladder wall thickening Nonfunctioning gallbladder at hepatobiliary system",What other imaging results are linked with systemic lupus erythematosus?,Answer this question truthfully
Aspirin has been found to decrease the incidence of recurrent stroke and transient ischemic attacks in patients with atrial septal defect and patent foramen ovale . The American Heart Association guidelines support the utilization of sustained warfarin therapy in high-risk atrial septal defect patients.,What medical therapy is used for stroke related to atrial septal defect?,Answer this question truthfully
Premature atrial contraction (PACs) is the most common form of supraventricular arrhythmia. Most patients are asymptomatic. Premature atrial contraction is rarely associated with severe symptoms and palpitation is the only complaint in most of the cases. Rarely patients may present with exercise intolerance and fatigue due to bradycardia caused by blocked PACs.,What are the symptoms and history of premature atrial contractions?,Answer this question truthfully
"Hypoplastic left heart syndrome occurs when parts of the left side of the heart (mitral valve, left ventricle, aortic valve, and aorta) do not develop completely. The condition is congenital (present at birth).",What information is available on hypoplastic left heart syndrome?,Answer this question truthfully
There are no ECG findings associated with hairy cell leukemia.,What is the link between Hairy cell leukemia and the electrocardiogram?,Answer this question truthfully
